time,state_0,state_1
1.000000000000001e-01,1.324047899517655e-03,-1.970306257708253e+00
2.000000000000001e-01,-1.934309547994262e-01,-1.921709402550788e+00
3.000000000000002e-01,-3.824160506702933e-01,-1.855064481528973e+00
4.000000000000003e-01,-5.638759724128983e-01,-1.771388149547452e+00
5.000000000000003e-01,-7.361646514982290e-01,-1.671845412190400e+00
6.000000000000004e-01,-8.977593394818951e-01,-1.557735163461858e+00
7.000000000000005e-01,-1.047273229763311e+00,-1.430474685418069e+00
8.000000000000006e-01,-1.183466484624082e+00,-1.291583283583869e+00
9.000000000000007e-01,-1.305255590039137e+00,-1.142665237150980e+00
1.000000000000001e+00,-1.411720978831253e+00,-9.853922461901671e-01
1.099999999999990e+00,-1.502112881046648e+00,-8.214855594765377e-01
1.199999999999979e+00,-1.575855378780675e+00,-6.526979660512200e-01
1.299999999999968e+00,-1.632548660895856e+00,-4.807958313646069e-01
1.399999999999957e+00,-1.671969490972201e+00,-3.075413548243029e-01
1.499999999999946e+00,-1.694069919240970e+00,-1.346752198793917e-01
1.599999999999935e+00,-1.698974286015473e+00,3.610019949914373e-02
1.699999999999924e+00,-1.686974580092816e+00,2.031369208307546e-01
1.799999999999913e+00,-1.658524230616968e+00,3.648565786292519e-01
1.899999999999902e+00,-1.614230424836175e+00,5.197646597413125e-01
1.999999999999891e+00,-1.554845056939906e+00,6.664636273042741e-01
2.099999999999880e+00,-1.481254424619622e+00,8.036648255023793e-01
2.199999999999869e+00,-1.394467800076013e+00,9.301990714964914e-01
2.299999999999858e+00,-1.295605010820514e+00,1.045025855743206e+00
2.399999999999847e+00,-1.185883172734329e+00,1.147241087245721e+00
2.499999999999836e+00,-1.066602723413512e+00,1.236083335929517e+00
2.599999999999825e+00,-9.391329078193105e-01,1.310938540149562e+00
2.699999999999814e+00,-8.048968706608391e-01,1.371343163152902e+00
2.799999999999803e+00,-6.653565107696363e-01,1.416985797984296e+00
2.899999999999792e+00,-5.219972520058281e-01,1.447707235681415e+00
2.999999999999781e+00,-3.763128830011855e-01,1.463499026513887e+00
3.099999999999770e+00,-2.297906143475840e-01,1.464500578338732e+00
3.199999999999759e+00,-8.389649674566618e-02,1.450994849743517e+00
3.299999999999748e+00,5.993866278406013e-02,1.423402708407495e+00
3.399999999999737e+00,2.003327571672848e-01,1.382276036920632e+00
3.499999999999726e+00,3.359650873299322e-01,1.328289679062615e+00
3.599999999999715e+00,4.655882111424078e-01,1.262232329173032e+00
3.699999999999704e+00,5.880388330508892e-01,1.184996475667056e+00
3.799999999999693e+00,7.022476456665715e-01,1.097567516908724e+00
3.899999999999681e+00,8.072480467083984e-01,1.001012173500536e+00
3.999999999999670e+00,9.021836673371553e-01,8.964663255517243e-01
4.099999999999704e+00,9.863146609435346e-01,7.851224066301478e-01
4.199999999999737e+00,1.059022714723537e+00,6.682164878803611e-01
4.299999999999771e+00,1.119814759755110e+00,5.470151862122270e-01
4.399999999999804e+00,1.168325368645828e+00,4.228025295533666e-01
4.499999999999837e+00,1.204317843020892e+00,2.968669099500034e-01
4.599999999999871e+00,1.227684006036502e+00,1.704882518420533e-01
4.699999999999904e+00,1.238442727613322e+00,4.492551818846893e-02
4.799999999999938e+00,1.236737222072905e+00,-7.859532865244262e-02
4.899999999999971e+00,1.222831169217985e+00,-1.988928011965002e-01
5.000000000000004e+00,1.197103720525950e+00,-3.148406939373552e-01
5.100000000000038e+00,1.160043461932494e+00,-4.253781295829057e-01
